RANK,PLAYER,Position,Passing_Yards,Passing_Touchdowns,Passing_INT,Rushing_Carry,Rushing_Yards,Rushing_Touchdowns,Receiving_Receptions,Receiving_Yards,Receiving_Touchdowns,Fantasy_Pts_Total,Fantasy_Pts_Average
156,Curtis Samuel,RB,0.0,0.0,0.0,32.0,161.0,1.0,47.0,475.0,3.0,130.2,7.7
157,Jonathan Mingo,WR,0.0,0.0,0.0,2.0,10.0,0.0,42.0,694.0,3.0,129.3,7.6
158,Sam LaPorta,WR,0.0,0.0,0.0,0.0,0.0,0.0,50.0,539.0,5.0,128.7,7.6
159,D.J. Chark,WR,0.0,0.0,0.0,0.0,0.0,0.0,38.0,671.0,4.0,128.3,7.5
160,Gerald Everett,WR,0.0,0.0,0.0,0.0,0.0,0.0,50.0,524.0,4.0,128.3,7.5
161,Sterling Shepard,WR,0.0,0.0,0.0,3.0,17.0,0.0,48.0,520.0,4.0,127.3,7.5
162,Chigoziem Okonkwo,TE,0.0,0.0,0.0,0.0,0.0,0.0,41.0,580.0,4.0,126.1,7.4
163,DeVan Parker,WR,0.0,0.0,0.0,0.0,0.0,0.0,41.0,602.0,4.0,124.5,7.3
164,Zach Ertz,WR,0.0,0.0,0.0,0.0,0.0,0.0,51.0,459.0,4.0,124.2,7.3
165,Juwan Johnson,TE,0.0,0.0,0.0,0.0,0.0,0.0,39.0,479.0,6.0,122.6,7.2
166,Rashid Shaheed,WR,0.0,0.0,0.0,5.0,68.0,2.0,32.0,562.0,2.0,120.0,7.1
167,Robert Woods,WR,0.0,0.0,0.0,4.0,22.0,0.0,52.0,488.0,3.0,119.9,7.1
168,Trey McBride,TE,0.0,0.0,0.0,0.0,0.0,0.0,56.0,513.0,2.0,119.0,7.0
169,Parris Campbell,WR,0.0,0.0,0.0,4.0,57.0,0.0,44.0,483.0,3.0,116.2,6.8
170,Van Jefferson,WR,0.0,0.0,0.0,1.0,4.0,0.0,36.0,528.0,4.0,116.0,6.8
171,Jake Ferguson,TE,0.0,0.0,0.0,0.0,0.0,0.0,44.0,484.0,4.0,115.6,6.8
172,Marquez Valdes-Scantling,WR,0.0,0.0,0.0,1.0,0.0,0.0,36.0,621.0,3.0,115.2,6.8
173,Mecole Hardman,WR,0.0,0.0,0.0,8.0,62.0,2.0,37.0,437.0,3.0,114.1,6.7
174,Marvin Jones,WR,0.0,0.0,0.0,0.0,0.0,0.0,40.0,498.0,4.0,113.3,6.7
175,Michael Gallup,WR,0.0,0.0,0.0,0.0,0.0,0.0,41.0,486.0,4.0,112.6,6.6
176,Noah Fant,TE,0.0,0.0,0.0,0.0,0.0,0.0,47.0,476.0,3.0,112.6,6.6
